ep_number,video_id,video_url,title,speaker,subtitle_mode,lang,txt_path
126,W8VUZ1WVFrY,https://www.youtube.com/watch?v=W8VUZ1WVFrY,"Direto ao ponto: Ater Digital Fundação Itesp: Contexto Histórico - Anderson Hazenfratz","Rede Aurora",auto,pt,"downloads/redeauroraater/#126 - Direto ao ponto- Ater Digital Fundação Itesp- Contexto Histórico - Anderson Hazenfratz {Rede Aurora}.txt"
127,poldM9LS6ko,https://www.youtube.com/watch?v=poldM9LS6ko,"Como podemos combater e desinformação e fake news nos territórios rurais?","Rede Aurora",auto,pt,"downloads/redeauroraater/#127 - Como podemos combater e desinformação e fake news nos territórios rurais- {Rede Aurora}.txt"
128,TDXJQGzM-YY,https://www.youtube.com/watch?v=TDXJQGzM-YY,"Como é a comunicação digital no campo em outros países de referência como Nova Zelândia e Singapura?","Rede Aurora",auto,pt,"downloads/redeauroraater/#128 - Como é a comunicação digital no campo em outros países de referência como Nova Zelândia e Singapura- {Rede Aurora}.txt"
129,wI_DhtOiSg4,https://www.youtube.com/watch?v=wI_DhtOiSg4,"Qual importância da interação dialógica entre extensionista e produtor rural para uma Ater Digital?","Rede Aurora",auto,pt,"downloads/redeauroraater/#129 - Qual importância da interação dialógica entre extensionista e produtor rural para uma Ater Digital- {Rede Aurora}.txt"
130,4--xhlbhtho,https://www.youtube.com/watch?v=4--xhlbhtho,"Como é a acessibilidade dos agricultores pelos aplicativos e o uso da gamificação na Ater Digital?","Rede Aurora",auto,pt,"downloads/redeauroraater/#130 - Como é a acessibilidade dos agricultores pelos aplicativos e o uso da gamificação na Ater Digital- {Rede Aurora}.txt"
131,Kt_zYYp9pUU,https://www.youtube.com/watch?v=Kt_zYYp9pUU,"Como os extensionistas rurais se comunicaram com os agricultores durante a pandemia?","Rede Aurora",auto,pt,"downloads/redeauroraater/#131 - Como os extensionistas rurais se comunicaram com os agricultores durante a pandemia- {Rede Aurora}.txt"
132,3Tmqd0JO9jI,https://www.youtube.com/watch?v=3Tmqd0JO9jI,"O 5G será a salvação ou problema para a Ater Digital?","Rede Aurora",auto,pt,"downloads/redeauroraater/#132 - O 5G será a salvação ou problema para a Ater Digital- {Rede Aurora}.txt"
133,FNLCyGXhq_A,https://www.youtube.com/watch?v=FNLCyGXhq_A,"Ater Digital para agricultura familiar no pós-Covid-19 - Kleber Pettan","Rede Aurora",auto,pt,"downloads/redeauroraater/#133 - Ater Digital para agricultura familiar no pós-Covid-19 - Kleber Pettan {Rede Aurora}.txt"
134,E1foS-TROtU,https://www.youtube.com/watch?v=E1foS-TROtU,"O uso das redes sociais como fator de inovação na pecuária brasileira - Mara Ramos","Rede Aurora",auto,pt,"downloads/redeauroraater/#134 - O uso das redes sociais como fator de inovação na pecuária brasileira - Mara Ramos {Rede Aurora}.txt"
135,opAfiPMwXng,https://www.youtube.com/watch?v=opAfiPMwXng,"O papel do extensionista entre pesquisadores e produtores rurais - Silvia Cristina Vieira Gomes","Rede Aurora",auto,pt,"downloads/redeauroraater/#135 - O papel do extensionista entre pesquisadores e produtores rurais - Silvia Cristina Vieira Gomes {Rede Aurora}.txt"
