ep_number,video_id,video_url,title,speaker,subtitle_mode,lang,txt_path
274,kId08DfdFDs,https://www.youtube.com/watch?v=kId08DfdFDs,"Construindo caminhos para a criação agroecológica de animais","Juliana Vieira Paz – Yamandú Agroecologia",auto,pt,"downloads/oextensionista/#274 - Construindo caminhos para a criação agroecológica de animais {Juliana Vieira Paz – Yamandú Agroecologia}.txt"
275,9NjONawmxXc,https://www.youtube.com/watch?v=9NjONawmxXc,"Do individual ao coletivo: a cooperação como ferramenta de enfrentamento da COVID 19","O Extensionista",auto,pt,"downloads/oextensionista/#275 - Do individual ao coletivo- a cooperação como ferramenta de enfrentamento da COVID 19 {O Extensionista}.txt"
276,yQv2jjMIJcQ,https://www.youtube.com/watch?v=yQv2jjMIJcQ,"Plataforma Ater+ Digital: Hubs desenvolvidos pela Embrapa Meio Ambiente","Luciano Lourenço Nass (Embrapa)",auto,pt,"downloads/oextensionista/#276 - Plataforma Ater+ Digital- Hubs desenvolvidos pela Embrapa Meio Ambiente {Luciano Lourenço Nass (Embrapa)}.txt"
277,f05JJrggSC0,https://www.youtube.com/watch?v=f05JJrggSC0,"Uso das mídias digitais na ATER","Flavia Maria de Oliveira Ott (EPAGRI), Filipe Espíndola (EPAGRI) e Leandro Correia Ebert (EMATER/RS-Ascar)",auto,pt,"downloads/oextensionista/#277 - Uso das mídias digitais na ATER {Flavia Maria de Oliveira Ott (EPAGRI), Filipe Espíndola (EPAGRI) e Leandro Correia Ebert (EMATER-RS-Ascar)}.txt"
278,yaZlqhTLUBw,https://www.youtube.com/watch?v=yaZlqhTLUBw,"CAMNPAL: uma história de união e cooperativismo","O Extensionista",auto,pt,"downloads/oextensionista/#278 - CAMNPAL- uma história de união e cooperativismo {O Extensionista}.txt"
279,0AR8Og0Lj6I,https://www.youtube.com/watch?v=0AR8Og0Lj6I,"Desenvolvimento rural em tempos de transformação: desafios e possibilidades","Cidonea Machado Deponti - UNISC",auto,pt,"downloads/oextensionista/#279 - Desenvolvimento rural em tempos de transformação- desafios e possibilidades {Cidonea Machado Deponti - UNISC}.txt"
280,ksIqB1P_jbc,https://www.youtube.com/watch?v=ksIqB1P_jbc,"Debate sobre a avicultura colonial: experiências e desafios","O Extensionista",auto,pt,"downloads/oextensionista/#280 - Debate sobre a avicultura colonial- experiências e desafios {O Extensionista}.txt"
281,AXCsuI_p-Sk,https://www.youtube.com/watch?v=AXCsuI_p-Sk,"Industrialização do ovo in natura","O Extensionista",auto,pt,"downloads/oextensionista/#281 - Industrialização do ovo in natura {O Extensionista}.txt"
282,XKgsCu6XZdc,https://www.youtube.com/watch?v=XKgsCu6XZdc,"Novidades na Avicultura colonial - Prof. Roberson Macedo de Oliveira","O Extensionista",auto,pt,"downloads/oextensionista/#282 - Novidades na Avicultura colonial - Prof. Roberson Macedo de Oliveira {O Extensionista}.txt"
283,tOKrwueJwCo,https://www.youtube.com/watch?v=tOKrwueJwCo,"Avicultura colonial","O Extensionista",auto,pt,"downloads/oextensionista/#283 - Avicultura colonial {O Extensionista}.txt"
284,6qq5JTyta9c,https://www.youtube.com/watch?v=6qq5JTyta9c,"Protagonismo da mulher agricultora e a união dentro do Cooperativismo - CAFESUL/Póde Mulheres","O Extensionista",auto,pt,"downloads/oextensionista/#284 - Protagonismo da mulher agricultora e a união dentro do Cooperativismo - CAFESUL-Póde Mulheres {O Extensionista}.txt"
285,OatPto-j-NI,https://www.youtube.com/watch?v=OatPto-j-NI,"PAS Nordeste e as Redes Territoriais de ATER","Jose Humberto Oliveira - IICA",auto,pt,"downloads/oextensionista/#285 - PAS Nordeste e as Redes Territoriais de ATER {Jose Humberto Oliveira - IICA}.txt"
286,ORHE8INZuSQ,https://www.youtube.com/watch?v=ORHE8INZuSQ,"Semeando conhecimento, colhendo parcerias: o impacto do HORTISHOW na Comunidade","O Extensionista",auto,pt,"downloads/oextensionista/#286 - Semeando conhecimento, colhendo parcerias- o impacto do HORTISHOW na Comunidade {O Extensionista}.txt"
